date,centre,price,msp
01-01-2009,DELHI,1140,1080
01-01-2009,BENGALURU,1500,1080
02-01-2009,BENGALURU,1500,1080
02-01-2009,CHENNAI,1540,1080
05-01-2009,DELHI,1140,1080
05-01-2009,CHENNAI,1540,1080
06-01-2009,DELHI,1140,1080
06-01-2009,BENGALURU,1600,1080
06-01-2009,CHENNAI,1540,1080
07-01-2009,DELHI,1140,1080
07-01-2009,CHENNAI,1540,1080
09-01-2009,DELHI,1140,1080
09-01-2009,BENGALURU,1700,1080
09-01-2009,CHENNAI,1540,1080
12-01-2009,DELHI,1140,1080
12-01-2009,BENGALURU,1700,1080
12-01-2009,CHENNAI,1540,1080
13-01-2009,DELHI,1160,1080
14-01-2009,DELHI,1160,1080
15-01-2009,DELHI,1160,1080
15-01-2009,BENGALURU,1700,1080
16-01-2009,DELHI,1180,1080
19-01-2009,DELHI,1180,1080
19-01-2009,BENGALURU,1700,1080
19-01-2009,CHENNAI,1540,1080
20-01-2009,DELHI,1180,1080
20-01-2009,CHENNAI,1540,1080
21-01-2009,DELHI,1180,1080
21-01-2009,BENGALURU,1700,1080
22-01-2009,DELHI,1180,1080
22-01-2009,BENGALURU,1700,1080
22-01-2009,CHENNAI,1540,1080
23-01-2009,DELHI,1190,1080
23-01-2009,CHENNAI,1540,1080
27-01-2009,DELHI,1170,1080
27-01-2009,BENGALURU,1700,1080
28-01-2009,DELHI,1180,1080
28-01-2009,BENGALURU,1700,1080
29-01-2009,DELHI,1180,1080
29-01-2009,BENGALURU,1600,1080
29-01-2009,CHENNAI,1540,1080
30-01-2009,DELHI,1180,1080
30-01-2009,BENGALURU,1600,1080
02-02-2009,DELHI,1180,1080
02-02-2009,BENGALURU,1600,1080
03-02-2009,DELHI,1185,1080
03-02-2009,BENGALURU,1600,1080
04-02-2009,DELHI,1185,1080
04-02-2009,BENGALURU,1600,1080
04-02-2009,CHENNAI,1540,1080
05-02-2009,DELHI,1185,1080
05-02-2009,BENGALURU,1600,1080
06-02-2009,DELHI,1185,1080
06-02-2009,BENGALURU,1600,1080
09-02-2009,DELHI,1185,1080
10-02-2009,DELHI,1185,1080
11-02-2009,DELHI,1185,1080
11-02-2009,AHMEDABAD,1125,1080
11-02-2009,BENGALURU,1600,1080
12-02-2009,DELHI,1185,1080
12-02-2009,BENGALURU,1600,1080
13-02-2009,DELHI,1185,1080
13-02-2009,BENGALURU,1600,1080
16-02-2009,DELHI,1185,1080
16-02-2009,BENGALURU,1600,1080
17-02-2009,BENGALURU,1600,1080
17-02-2009,CHENNAI,1700,1080
18-02-2009,DELHI,1185,1080
18-02-2009,AHMEDABAD,1163,1080
18-02-2009,BENGALURU,1600,1080
19-02-2009,DELHI,1185,1080
19-02-2009,BENGALURU,1600,1080
20-02-2009,DELHI,1185,1080
20-02-2009,BENGALURU,1600,1080
23-02-2009,DELHI,1185,1080
24-02-2009,DELHI,1185,1080
25-02-2009,DELHI,1185,1080
25-02-2009,BENGALURU,1600,1080
25-02-2009,CHENNAI,1700,1080
26-02-2009,DELHI,1185,1080
26-02-2009,BENGALURU,1600,1080
26-02-2009,CHENNAI,1700,1080
27-02-2009,DELHI,1190,1080
27-02-2009,BENGALURU,1600,1080
27-02-2009,CHENNAI,1700,1080
02-03-2009,DELHI,1190,1080
03-03-2009,DELHI,1190,1080
04-03-2009,DELHI,1190,1080
04-03-2009,BENGALURU,1550,1080
05-03-2009,DELHI,1180,1080
05-03-2009,BENGALURU,1500,1080
06-03-2009,DELHI,1180,1080
06-03-2009,BENGALURU,1500,1080
09-03-2009,DELHI,1185,1080
09-03-2009,MUMBAI,1500,1080
09-03-2009,BENGALURU,1500,1080
12-03-2009,DELHI,1180,1080
12-03-2009,AHMEDABAD,1115,1080
13-03-2009,DELHI,1175,1080
16-03-2009,DELHI,1175,1080
17-03-2009,DELHI,1175,1080
17-03-2009,CHENNAI,1700,1080
18-03-2009,DELHI,1175,1080
18-03-2009,MUMBAI,1475,1080
18-03-2009,BENGALURU,1500,1080
19-03-2009,DELHI,1175,1080
19-03-2009,BENGALURU,1500,1080
20-03-2009,DELHI,1175,1080
20-03-2009,CHENNAI,1700,1080
23-03-2009,DELHI,1175,1080
23-03-2009,BENGALURU,1500,1080
24-03-2009,DELHI,1175,1080
24-03-2009,BENGALURU,1500,1080
25-03-2009,DELHI,1165,1080
25-03-2009,MUMBAI,1425,1080
25-03-2009,BENGALURU,1400,1080
26-03-2009,DELHI,1165,1080
26-03-2009,CHENNAI,1700,1080
27-03-2009,DELHI,1165,1080
30-03-2009,DELHI,1165,1080
30-03-2009,BENGALURU,1400,1080
31-03-2009,DELHI,1165,1080
01-04-2009,DELHI,1165,1080
01-04-2009,MUMBAI,1300,1080
01-04-2009,BENGALURU,1400,1080
01-04-2009,HYDERABAD,1250,1080
02-04-2009,DELHI,1165,1080
02-04-2009,BENGALURU,1400,1080
06-04-2009,DELHI,1130,1080
08-04-2009,DELHI,1130,1080
08-04-2009,MUMBAI,1300,1080
08-04-2009,BENGALURU,1500,1080
08-04-2009,CHENNAI,1700,1080
09-04-2009,DELHI,1130,1080
09-04-2009,BENGALURU,1500,1080
13-04-2009,DELHI,1115,1080
13-04-2009,BENGALURU,1500,1080
15-04-2009,DELHI,1115,1080
15-04-2009,BENGALURU,1500,1080
16-04-2009,DELHI,1115,1080
17-04-2009,DELHI,1105,1080
20-04-2009,DELHI,1095,1080
21-04-2009,DELHI,1095,1080
22-04-2009,DELHI,1095,1080
23-04-2009,DELHI,1095,1080
24-04-2009,DELHI,1095,1080
24-04-2009,HYDERABAD,1250,1080
27-04-2009,DELHI,1085,1080
28-04-2009,DELHI,1085,1080
28-04-2009,BENGALURU,1500,1080
29-04-2009,DELHI,1085,1080
30-04-2009,DELHI,1085,1080
30-04-2009,BENGALURU,1600,1080
01-05-2009,DELHI,1085,1080
04-05-2009,DELHI,1085,1080
05-05-2009,DELHI,1085,1080
05-05-2009,BENGALURU,1600,1080
05-05-2009,HYDERABAD,1250,1080
06-05-2009,DELHI,1075,1080
08-05-2009,DELHI,1075,1080
12-05-2009,DELHI,1075,1080
13-05-2009,DELHI,1075,1080
13-05-2009,AHMEDABAD,1162,1080
13-05-2009,MUMBAI,1325,1080
13-05-2009,BENGALURU,1500,1080
14-05-2009,DELHI,1075,1080
14-05-2009,CHENNAI,1600,1080
15-05-2009,DELHI,1075,1080
15-05-2009,CHENNAI,1600,1080
18-05-2009,CHENNAI,1600,1080
19-05-2009,DELHI,1075,1080
19-05-2009,BENGALURU,1500,1080
19-05-2009,CHENNAI,1600,1080
19-05-2009,HYDERABAD,1250,1080
20-05-2009,DELHI,1075,1080
20-05-2009,MUMBAI,1425,1080
20-05-2009,BENGALURU,1500,1080
20-05-2009,CHENNAI,1600,1080
21-05-2009,DELHI,1075,1080
21-05-2009,BENGALURU,1500,1080
21-05-2009,CHENNAI,1600,1080
22-05-2009,DELHI,1075,1080
26-05-2009,DELHI,1085,1080
